Time	[Ca_ex]	[Ca_s]	[Ca_c]	[Ca_B]	[s5]	[IP3]	[s7]	[s8]	[s9]	[s10]	[s11]	[TimeT]	[s13]	[Shear Stress]	Compartments[default].Volume	Compartments[Cell].Volume	Compartments[ER].Volume	Values[R_T]	Values[k1]	Values[k2]	Values[k3]	Values[k4]	Values[k5]	Values[k6]	Values[k7]	Values[K1]	Values[K2]	Values[K3]	Values[K4]	Values[K5]	Values[K_hi]	Values[k_CICR]	Values[K_CICR]	Values[k_CCE]	Values[B_T]	Values[dot_Vp]	Values[dot_Vex]	Values[dot_Vhi]	Values[dot_q_inpass]	Values[Cao]	Values[tau_I]	Values[tau_II]	Values[half]	Values[fracK]
0	1.5e+06	2.83e+06	117.2	3870	0	0	0	0	0	0	0	0	0	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
3.33333e-13	1.5e+06	2.83e+06	117.2	3870	0	0	0	0	1.92434e-10	8.17084e-10	-1e-09	3.33333e-13	-3.33333e-13	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
6.66667e-13	1.5e+06	2.83e+06	117.2	3870	0	1.45519e-27	-1.45519e-27	4.85064e-40	3.84868e-10	1.63417e-09	-2e-09	6.66667e-13	-6.66667e-13	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
3.334e-09	1.5e+06	2.83e+06	117.2	3870	0	1.45534e-23	-1.45534e-23	2.42578e-32	1.92472e-06	8.17246e-06	-1.0002e-05	3.334e-09	-3.334e-09	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
6.66733e-09	1.5e+06	2.83e+06	117.199	3870	0	2.18293e-23	-2.18293e-23	8.48955e-32	3.84905e-06	1.63433e-05	-2.0002e-05	6.66733e-09	-6.66733e-09	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
1.00007e-08	1.5e+06	2.83e+06	117.199	3870	0	2.91053e-23	-2.91053e-23	1.69786e-31	5.77338e-06	2.45141e-05	-3.0002e-05	1.00007e-08	-1.00007e-08	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
4.3334e-08	1.5e+06	2.83e+06	117.196	3870	0	-4.31705e-22	4.31705e-22	-5.05806e-30	2.50164e-05	0.000106221	-0.000130002	4.3334e-08	-4.3334e-08	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
7.66673e-08	1.5e+06	2.83e+06	117.192	3870.01	0	2.06637e-21	-2.06637e-21	1.39673e-29	4.42591e-05	0.000187926	-0.000230002	7.66673e-08	-7.66673e-08	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
1.10001e-07	1.5e+06	2.83e+06	117.189	3870.01	0	7.97203e-21	-7.97203e-21	1.71808e-28	6.35013e-05	0.00026963	-0.000330002	1.10001e-07	-1.10001e-07	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
1.43334e-07	1.5e+06	2.83e+06	117.186	3870.01	0	1.87768e-20	-1.87768e-20	6.04014e-28	8.27431e-05	0.000351332	-0.000430002	1.43334e-07	-1.43334e-07	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
